Duration,Source Port,Destination Port,Protocol,Flags,Packets,Bytes,Mean Payload Size,Std Payload Size,Min Payload Size,Max Payload Size,Mean Entropy,Min Entropy,Max Entropy,Mean Inter-Packet Interval,Min Inter-Packet Interval,Max Inter-Packet Interval,Bytes per Packet,Packets per Second,Bytes per Second,Destination Common Port Usage,Flags Count,SYN Count,ACK Count,FIN Count,Is HTTP,Is Internal IP,Direction,Short Duration,Single Packet
1.039184,4143,52556,TCP,"RST,ACK",3,120,40.0,0.0,40,40,0.0,0.0,0.0,0.5195919999969192,0.5178590000141412,0.5213249999796972,40.0,2.886880475449968,115.47521901799873,0,2,0,1,0,0,0,inbound,0,0
1817772.156411,54440,8080,TCP,SYN,6,268,44.66666666666666,1.8856180831641267,42,46,0.0,0.0,0.0,363554.4312821999,3.0000100000179373,1817754.145101,44.66666666666666,3.3007437036808665e-06,0.0001474332187644,0,1,1,0,0,0,1,outbound,0,0
1e-06,58305,8080,HTTP,"PSH,ACK",1,456,456.0,0.0,456,456,3.513429278006331,3.513429278006331,3.513429278006331,0.0,0.0,0.0,456.0,1000000.0,456000000.0,0,2,0,1,0,1,1,outbound,1,1
1e-06,8080,50708,DATA-TEXT-LINES,"PSH,ACK",1,752,752.0,0.0,752,752,3.2736178425382163,3.2736178425382163,3.2736178425382163,0.0,0.0,0.0,752.0,1000000.0,752000000.0,0,2,0,1,0,0,0,outbound,1,1
1e-06,56295,8080,TCP,SYN,1,46,46.0,0.0,46,46,0.0,0.0,0.0,0.0,0.0,0.0,46.0,1000000.0,46000000.0,0,1,1,0,0,0,1,outbound,1,1
1.029203,52996,4143,TCP,SYN,3,134,44.66666666666666,1.8856180831641267,42,46,0.0,0.0,0.0,0.5146015000063926,0.5113350000465289,0.5178679999662563,44.666666666666664,2.91487685131116,130.19783269189847,0,1,1,0,0,0,1,outbound,0,0
1.03968,57580,4143,TCP,SYN,3,134,44.66666666666666,1.8856180831641267,42,46,0.0,0.0,0.0,0.5198399999644607,0.5179669999051839,0.5217130000237375,44.666666666666664,2.88550323176362,128.885811018775,0,1,1,0,0,0,1,outbound,0,0
9.004726,63546,8080,TCP,SYN,3,134,44.66666666666666,1.8856180831641267,42,46,0.0,0.0,0.0,4.502363000006881,3.0065300000133,5.998196000000462,44.66666666666666,0.3331583881619496,14.881074671233751,0,1,1,0,0,0,1,outbound,0,0
1e-06,52665,8080,HTTP,"PSH,ACK",1,456,456.0,0.0,456,456,3.516244444818756,3.516244444818756,3.516244444818756,0.0,0.0,0.0,456.0,1000000.0,456000000.0,0,2,0,1,0,1,1,outbound,1,1
8.99435,56296,8080,TCP,SYN,3,134,44.66666666666666,1.8856180831641267,42,46,0.0,0.0,0.0,4.497175000004063,2.99576300001354,5.998586999994586,44.66666666666666,0.3335427240434272,14.898241673939747,0,1,1,0,0,0,1,outbound,0,0
1e-06,63991,8080,HTTP,"PSH,ACK",1,456,456.0,0.0,456,456,3.519647617876019,3.519647617876019,3.519647617876019,0.0,0.0,0.0,456.0,1000000.0,456000000.0,0,2,0,1,0,1,1,outbound,1,1
9.003777,53138,8080,TCP,SYN,3,134,44.66666666666666,1.8856180831641267,42,46,0.0,0.0,0.0,4.501888499944471,2.994357999879867,6.009419000009075,44.66666666666666,0.3331935031265212,14.882643139651282,0,1,1,0,0,0,1,outbound,0,0
0.99945,443,53754,TCP,"RST,ACK",3,102,34.0,0.0,34,34,0.0,0.0,0.0,0.4997250000014901,0.498128000064753,0.5013219999382272,34.0,3.0016509079994,102.05613087197959,0,2,0,1,0,0,0,inbound,0,0
9.009397,55552,8080,TCP,SYN,3,134,44.66666666666666,1.8856180831641267,42,46,0.0,0.0,0.0,4.5046985000008135,3.0012920000008307,6.008105000000796,44.66666666666666,0.3329856593066106,14.873359449028609,0,1,1,0,0,0,1,outbound,0,0
0.998138,443,58290,TCP,"RST,ACK",3,102,34.0,0.0,34,34,0.0,0.0,0.0,0.499068999895826,0.497385999886319,0.5007519999053329,34.0,3.0055964205350363,102.19027829819123,0,2,0,1,0,0,0,inbound,0,0
1468254.365296,51300,8080,TCP,SYN,6,268,44.66666666666666,1.8856180831641267,42,46,0.0,0.0,0.0,293650.8730592,2.997144000000844,1468236.362102,44.66666666666666,4.086485381428034e-06,0.0001825296803704,0,1,1,0,0,0,1,outbound,0,0
0.998793,55418,443,TCP,SYN,3,134,44.66666666666666,1.8856180831641267,42,46,0.0,0.0,0.0,0.4993964999448508,0.4985040000174194,0.5002889998722821,44.666666666666664,3.003625375828625,134.16193345367859,1,1,1,0,0,0,1,outbound,0,0
1.039644,54752,4143,TCP,SYN,3,134,44.66666666666666,1.8856180831641267,42,46,0.0,0.0,0.0,0.5198219999438152,0.5184190000873059,0.5212249998003244,44.666666666666664,2.885603148770156,128.8902739784003,0,1,1,0,0,0,1,outbound,0,0
8.998544,58022,8080,TCP,SYN,3,134,44.66666666666666,1.8856180831641267,42,46,0.0,0.0,0.0,4.499272000044584,3.0000390000641346,5.998505000025034,44.66666666666666,0.3333872679846872,14.891297969982698,0,1,1,0,0,0,1,outbound,0,0
9.002989,62457,8080,TCP,SYN,3,134,44.66666666666666,1.8856180831641267,42,46,0.0,0.0,0.0,4.501494500000263,2.994431999977678,6.008557000022847,44.66666666666666,0.3332226663833533,14.883945765123118,0,1,1,0,0,0,1,outbound,0,0
900.286631,8080,50489,TCP,"FIN,SYN,RST,ACK",4,140,35.0,1.7320508075688772,34,38,0.0,0.0,0.0,300.09554366666515,0.0004699998535215,885.0768940001726,35.0,0.0044430294333672,0.1555060301678521,0,4,1,1,1,0,0,outbound,0,0
0.998673,58434,443,TCP,SYN,3,134,44.66666666666666,1.8856180831641267,42,46,0.0,0.0,0.0,0.4993364999536425,0.4985440000891685,0.5001289998181164,44.666666666666664,3.0039862898065732,134.17805427802693,1,1,1,0,0,0,1,outbound,0,0
1.03861,55168,4143,TCP,SYN,3,134,44.66666666666666,1.8856180831641267,42,46,0.0,0.0,0.0,0.519304999965243,0.5174020000267774,0.5212079999037087,44.666666666666664,2.8884759438095147,129.01859215682498,0,1,1,0,0,0,1,outbound,0,0
1.069548,50320,4143,TCP,SYN,3,134,44.66666666666666,1.8856180831641267,42,46,0.0,0.0,0.0,0.534773999999743,0.5185639999981504,0.5509840000013355,44.666666666666664,2.8049232012027514,125.28656965372289,0,1,1,0,0,0,1,outbound,0,0
1.025395,4143,51268,TCP,"RST,ACK",3,120,40.0,0.0,40,40,0.0,0.0,0.0,0.5126975000021048,0.5083319999976084,0.5170630000066012,40.0,2.925701802719927,117.02807210879709,0,2,0,1,0,0,0,inbound,0,0
0.998986,51430,443,TCP,SYN,3,134,44.66666666666666,1.8856180831641267,42,46,0.0,0.0,0.0,0.4994930000102613,0.4985050000250339,0.5004809999954887,44.666666666666664,3.003045087718947,134.13601391811295,1,1,1,0,0,0,1,outbound,0,0
8.996611,61316,8080,TCP,SYN,3,134,44.66666666666666,1.8856180831641267,42,46,0.0,0.0,0.0,4.498305499990238,2.9981559999869205,5.998454999993555,44.66666666666666,0.3334588991343518,14.894497494667714,0,1,1,0,0,0,1,outbound,0,0
0.999139,49194,443,TCP,SYN,3,134,44.66666666666666,1.8856180831641267,42,46,0.0,0.0,0.0,0.4995694999997795,0.4981280000001788,0.5010109999993801,44.666666666666664,3.002585225879482,134.11547342261687,1,1,1,0,0,0,1,outbound,0,0
