Duration,Source Port,Destination Port,Protocol,Flags,Packets,Bytes,Mean Payload Size,Std Payload Size,Min Payload Size,Max Payload Size,Mean Entropy,Min Entropy,Max Entropy,Mean Inter-Packet Interval,Min Inter-Packet Interval,Max Inter-Packet Interval,Bytes per Packet,Packets per Second,Bytes per Second,Destination Common Port Usage,Flags Count,SYN Count,ACK Count,FIN Count,Is HTTP,Is Internal IP,Direction,Short Duration,Single Packet
1.157014,8043,52501,TCP,"RST,ACK",3,120,40.0,0.0,40,40,0.0,0,0,0.5785069999983534,0.5759850000031292,0.5810289999935776,40.0,2.5928813307358425,103.7152532294337,0,2,0,1,0,0,0,outbound,0,0
1.140899,8043,55405,TCP,"RST,ACK",3,120,40.0,0.0,40,40,0.0,0,0,0.5704494999954477,0.570047999965027,0.5708510000258684,40.0,2.6295053286925483,105.18021314770193,0,2,0,1,0,0,0,outbound,0,0
1.229826,53483,8043,TCP,SYN,3,134,44.66666666666666,1.8856180831641267,42,46,0.0,0,0,0.6149129999685101,0.6112069999799132,0.618618999957107,44.666666666666664,2.4393694717789343,108.95850307279241,0,1,1,0,0,0,1,outbound,0,0
1.008761,443,52310,TCP,"RST,ACK",3,102,34.0,0.0,34,34,0.0,0,0,0.5043805000022985,0.5007850000401959,0.5079759999644011,34.0,2.973945265528703,101.1141390279759,0,2,0,1,0,0,0,outbound,0,0
1.039135,4143,50732,TCP,"RST,ACK",3,120,40.0,0.0,40,40,0.0,0,0,0.5195674999849871,0.5186009999597445,0.5205340000102296,40.0,2.887016605157174,115.48066420628697,0,2,0,1,0,0,0,outbound,0,0
0.99896,443,57450,TCP,"RST,ACK",3,102,34.0,0.0,34,34,0.0,0,0,0.4994799999985844,0.4988269999157637,0.500133000081405,34.0,3.003123248178105,102.10619043805558,0,2,0,1,0,0,0,outbound,0,0
1.151009,8043,51277,TCP,"RST,ACK",3,120,40.0,0.0,40,40,0.0,0,0,0.5755045000114478,0.5709829999832436,0.580026000039652,40.0,2.606408811746911,104.25635246987643,0,2,0,1,0,0,0,outbound,0,0
1.159637,58269,8043,TCP,SYN,3,134,44.66666666666666,1.8856180831641267,42,46,0.0,0,0,0.5798184999730438,0.5784789999015629,0.5811580000445247,44.666666666666664,2.5870164542869882,115.5534016248188,0,1,1,0,0,0,1,outbound,0,0
1.230382,53359,8043,TCP,SYN,3,134,44.66666666666666,1.8856180831641267,42,46,0.0,0,0,0.6151909999898635,0.6112379999831319,0.6191439999965951,44.666666666666664,2.438267139798859,108.90926557768238,0,1,1,0,0,0,1,outbound,0,0
0.998419,58686,443,TCP,SYN,3,134,44.66666666666666,1.8856180831641267,42,46,0.0,0,0,0.4992095000343397,0.4979910000693053,0.5004279999993742,44.666666666666664,3.0047505105571912,134.21218947155452,1,1,1,0,0,0,1,outbound,0,0
0.998664,54822,443,TCP,SYN,3,134,44.66666666666666,1.8856180831641267,42,46,0.0,0,0,0.4993320000357926,0.4980389999691397,0.5006250001024455,44.666666666666664,3.0040133618514333,134.1792634960307,1,1,1,0,0,0,1,outbound,0,0
0.998511,443,52062,TCP,"RST,ACK",3,102,34.0,0.0,34,34,0.0,0,0,0.4992555000353604,0.4974200000287965,0.5010910000419244,34.0,3.004473661281648,102.15210448357604,0,2,0,1,0,0,0,outbound,0,0
1.041696,4143,57340,TCP,"RST,ACK",3,120,40.0,0.0,40,40,0.0,0,0,0.5208479999564588,0.5207030000165105,0.5209929998964071,40.0,2.8799189014837343,115.19675605934937,0,2,0,1,0,0,0,outbound,0,0
0.998761,443,50670,TCP,"RST,ACK",3,102,34.0,0.0,34,34,0.0,0,0,0.4993804999976419,0.4982360000140033,0.5005249999812804,34.0,3.003721611076123,102.12653477658819,0,2,0,1,0,0,0,outbound,0,0
1.038999,58068,4143,TCP,SYN,3,134,44.66666666666666,1.8856180831641267,42,46,0.0,0,0,0.5194995000492781,0.51827900018543,0.5207199999131262,44.666666666666664,2.8873945018233895,128.9702877481114,0,1,1,0,0,0,1,outbound,0,0
1.160287,50429,8043,TCP,SYN,3,134,44.66666666666666,1.8856180831641267,42,46,0.0,0,0,0.5801435000030324,0.5788330000068527,0.5814539999992121,44.666666666666664,2.5855671915655347,115.48866788992723,0,1,1,0,0,0,1,outbound,0,0
1.036946,4143,53536,TCP,"RST,ACK",3,120,40.0,0.0,40,40,0.0,0,0,0.5184729999746196,0.5161589999916032,0.520786999957636,40.0,2.8931111166830292,115.72444466732117,0,2,0,1,0,0,0,outbound,0,0
1.140084,50161,8043,TCP,SYN,3,134,44.66666666666666,1.8856180831641267,42,46,0.0,0,0,0.5700419999920996,0.5687570000009146,0.5713269999832846,44.666666666666664,2.6313850558379905,117.53519916076358,0,1,1,0,0,0,1,outbound,0,0
1.24016,8043,49867,TCP,"RST,ACK",3,120,40.0,0.0,40,40,0.0,0,0,0.6200799999933224,0.6189749999903142,0.6211849999963306,40.0,2.4190427041672042,96.76170816668818,0,2,0,1,0,0,0,outbound,0,0
