Duration,Source Port,Destination Port,Protocol,Flags,Packets,Bytes,Mean Payload Size,Std Payload Size,Min Payload Size,Max Payload Size,Mean Entropy,Min Entropy,Max Entropy,Mean Inter-Packet Interval,Min Inter-Packet Interval,Max Inter-Packet Interval,Label,Bytes per Packet,Packets per Second,Bytes per Second,Destination Common Port Usage,Flags Count,SYN Count,ACK Count,FIN Count,Is HTTP,Is Internal IP,Direction,Short Duration,Single Packet
0.996372,49158,443,TCP,SYN,3,134,44.66666666666666,1.8856180831641267,42,46,0.0,0,0,0.498186000000004,0.4950130000000001,0.5013590000000079,Dridex,44.666666666666664,3.010923630933025,134.48792218167512,1,1,1,0,0,0,1,outbound,0,0
0.996406,443,49158,TCP,"RST,ACK",3,102,34.0,0.0,34,34,0.0,0,0,0.4982029999999895,0.4950329999999781,0.501373000000001,Dridex,34.0,3.010820890279665,102.36791026950861,0,2,0,1,0,0,0,outbound,0,0
1.24277,49159,8043,TCP,SYN,3,134,44.66666666666666,1.8856180831641267,42,46,0.0,0,0,0.6213850000000036,0.6205120000000193,0.622257999999988,Benign,44.666666666666664,2.413962358280293,107.82365200318644,0,1,1,0,0,0,1,outbound,0,0
1.242445,8043,49159,TCP,"RST,ACK",3,120,40.0,0.0,40,40,0.0,0,0,0.6212224999999876,0.6205549999999675,0.6218900000000076,Benign,40.0,2.414593804957161,96.58375219828645,0,2,0,1,0,0,0,outbound,0,0
1.020275,49160,4143,TCP,SYN,3,134,44.66666666666666,1.8856180831641267,42,46,0.0,0,0,0.5101375000000132,0.5086610000000178,0.5116140000000087,Dridex,44.666666666666664,2.9403837200754697,131.3371394967043,0,1,1,0,0,0,1,outbound,0,0
1.020733,4143,49160,TCP,"RST,ACK",3,120,40.0,0.0,40,40,0.0,0,0,0.5103665000000035,0.5087030000000254,0.5120299999999816,Dridex,40.0,2.9390643782458294,117.56257512983318,0,2,0,1,0,0,0,outbound,0,0
1.139018,49161,8043,TCP,SYN,3,134,44.66666666666666,1.8856180831641267,42,46,0.0,0,0,0.5695090000000391,0.5675190000000612,0.5714990000000171,Benign,44.666666666666664,2.6338477530644817,117.64519963688018,0,1,1,0,0,0,1,outbound,0,0
1.138736,8043,49161,TCP,"RST,ACK",3,120,40.0,0.0,40,40,0.0,0,0,0.5693679999999972,0.5668330000000878,0.5719029999999066,Benign,40.0,2.6345000070253333,105.38000028101334,0,2,0,1,0,0,0,outbound,0,0
0.998487,49162,443,TCP,SYN,3,134,44.66666666666666,1.8856180831641267,42,46,0.0,0,0,0.4992434999999773,0.4974889999999732,0.5009979999999814,Dridex,44.666666666666664,3.0045458779132828,134.20304921345996,1,1,1,0,0,0,1,outbound,0,0
0.998506,443,49162,TCP,"RST,ACK",3,102,34.0,0.0,34,34,0.0,0,0,0.4992530000000101,0.4975080000000389,0.5009979999999814,Dridex,34.0,3.0044887061269536,102.15261600831643,0,2,0,1,0,0,0,outbound,0,0
1.240188,49163,8043,TCP,SYN,3,134,44.66666666666666,1.8856180831641267,42,46,0.0,0,0,0.6200939999999946,0.6187519999999722,0.621436000000017,Benign,44.666666666666664,2.4189880889026503,108.0481346376517,0,1,1,0,0,0,1,outbound,0,0
1.239961,8043,49163,TCP,"RST,ACK",3,120,40.0,0.0,40,40,0.0,0,0,0.6199804999999969,0.6186089999999922,0.6213520000000017,Benign,40.0,2.4194309337148505,96.77723734859403,0,2,0,1,0,0,0,outbound,0,0
1.038984,49164,4143,TCP,SYN,3,134,44.66666666666666,1.8856180831641267,42,46,0.0,0,0,0.5194920000000138,0.517955000000029,0.5210289999999986,Dridex,44.666666666666664,2.887436187660253,128.9721497154913,0,1,1,0,0,0,1,outbound,0,0
1.039552,4143,49164,TCP,"RST,ACK",3,120,40.0,0.0,40,40,0.0,0,0,0.5197760000000926,0.518498000000136,0.5210540000000492,Dridex,40.0,2.8858585236717356,115.43434094686941,0,2,0,1,0,0,0,outbound,0,0
1.140116,49165,8043,TCP,SYN,3,134,44.66666666666666,1.8856180831641267,42,46,0.0,0,0,0.5700580000000173,0.5686889999999494,0.5714270000000852,Benign,44.666666666666664,2.6313111999129917,117.53190026278028,0,1,1,0,0,0,1,outbound,0,0
1.13877,8043,49165,TCP,"RST,ACK",3,120,40.0,0.0,40,40,0.0,0,0,0.5693850000000111,0.5677800000000843,0.5709899999999379,Benign,40.0,2.634421349350615,105.3768539740246,0,2,0,1,0,0,0,outbound,0,0
0.998767,49166,443,TCP,SYN,3,134,44.66666666666666,1.8856180831641267,42,46,0.0,0,0,0.4993835000000217,0.4982159999999567,0.5005510000000868,Dridex,44.666666666666664,3.0037035664974914,134.1654259702213,1,1,1,0,0,0,1,outbound,0,0
0.998746,443,49166,TCP,"RST,ACK",3,102,34.0,0.0,34,34,0.0,0,0,0.4993729999999914,0.4982740000000376,0.5004719999999452,Dridex,34.0,3.003766723471233,102.12806859802191,0,2,0,1,0,0,0,outbound,0,0
1.24038,49167,8043,TCP,SYN,3,134,44.66666666666666,1.8856180831641267,42,46,0.0,0,0,0.6201899999999796,0.6190279999998438,0.6213520000001154,Benign,44.666666666666664,2.4186136506554443,108.0314097292765,0,1,1,0,0,0,1,outbound,0,0
1.239993,8043,49167,TCP,"RST,ACK",3,120,40.0,0.0,40,40,0.0,0,0,0.6199965000000702,0.6186810000001515,0.621311999999989,Benign,40.0,2.4193684964350606,96.77473985740242,0,2,0,1,0,0,0,outbound,0,0
1.041213,49168,4143,TCP,SYN,3,134,44.66666666666666,1.8856180831641267,42,46,0.0,0,0,0.5206064999999853,0.5202629999998862,0.5209500000000844,Dridex,44.666666666666664,2.881254844109707,128.6960497035669,0,1,1,0,0,0,1,outbound,0,0
1.042136,4143,49168,TCP,"RST,ACK",3,120,40.0,0.0,40,40,0.0,0,0,0.5210680000000139,0.5201329999999871,0.5220030000000406,Dridex,40.0,2.878702971589121,115.14811886356483,0,2,0,1,0,0,0,outbound,0,0
1.140214,49169,8043,TCP,SYN,3,134,44.66666666666666,1.8856180831641267,42,46,0.0,0,0,0.5701070000000072,0.5695559999999205,0.570658000000094,Benign,44.666666666666664,2.6310850419307252,117.52179853957239,0,1,1,0,0,0,1,outbound,0,0
1.139859,8043,49169,TCP,"RST,ACK",3,120,40.0,0.0,40,40,0.0,0,0,0.5699294999999438,0.5688439999998991,0.5710149999999885,Benign,40.0,2.63190447239527,105.2761788958108,0,2,0,1,0,0,0,outbound,0,0
0.999184,49170,443,TCP,SYN,3,134,44.66666666666666,1.8856180831641267,42,46,0.0,0,0,0.4995920000001206,0.4982220000001689,0.5009620000000723,Dridex,44.666666666666664,3.0024499991993467,134.10943329757083,1,1,1,0,0,0,1,outbound,0,0
0.999238,443,49170,TCP,"RST,ACK",3,102,34.0,0.0,34,34,0.0,0,0,0.4996189999999387,0.4982959999997547,0.5009420000001228,Dridex,34.0,3.0022877432603647,102.0777832708524,0,2,0,1,0,0,0,outbound,0,0
1.230411,49171,8043,TCP,SYN,3,134,44.66666666666666,1.8856180831641267,42,46,0.0,0,0,0.6152055000000018,0.6113640000003215,0.6190469999996822,Benign,44.666666666666664,2.4382096714024826,108.90669865597756,0,1,1,0,0,0,1,outbound,0,0
1.230621,8043,49171,TCP,"RST,ACK",3,120,40.0,0.0,40,40,0.0,0,0,0.6153105000000778,0.6116390000001957,0.61898199999996,Benign,40.0,2.437793601766913,97.51174407067651,0,2,0,1,0,0,0,outbound,0,0
1.039384,49172,4143,TCP,SYN,3,134,44.66666666666666,1.8856180831641267,42,46,0.0,0,0,0.5196919999998499,0.5180159999999887,0.5213679999997112,Dridex,44.666666666666664,2.886324977101822,128.92251564388135,0,1,1,0,0,0,1,outbound,0,0
1.040459,4143,49172,TCP,"RST,ACK",3,120,40.0,0.0,40,40,0.0,0,0,0.520229499999914,0.5179950000001554,0.5224639999996725,Dridex,40.0,2.8833428323461088,115.33371329384435,0,2,0,1,0,0,0,outbound,0,0
1.159496,49173,8043,TCP,SYN,3,134,44.66666666666666,1.8856180831641267,42,46,0.0,0,0,0.5797480000001087,0.5783970000002228,0.5810989999999947,Benign,44.666666666666664,2.5873310472826123,115.56745344529001,0,1,1,0,0,0,1,outbound,0,0
1.159943,8043,49173,TCP,"RST,ACK",3,120,40.0,0.0,40,40,0.0,0,0,0.579971500000056,0.5788919999999962,0.5810510000001159,Benign,40.0,2.5863339836526453,103.4533593461058,0,2,0,1,0,0,0,outbound,0,0
1.00191,49174,443,TCP,SYN,3,134,44.66666666666666,1.8856180831641267,42,46,0.0,0,0,0.5009549999999763,0.5008299999999508,0.5010800000000017,Dridex,44.666666666666664,2.9942809234362366,133.74454791348523,1,1,1,0,0,0,1,outbound,0,0
1.001948,443,49174,TCP,"RST,ACK",3,102,34.0,0.0,34,34,0.0,0,0,0.500974000000042,0.500807999999779,0.501140000000305,Dridex,34.0,2.994167361978865,101.8016903072814,0,2,0,1,0,0,0,outbound,0,0
1.238648,49175,8043,TCP,SYN,3,134,44.66666666666666,1.8856180831641267,42,46,0.0,0,0,0.619324000000006,0.6173009999997703,0.6213470000002417,Benign,44.666666666666664,2.421995595197344,108.1824699188147,0,1,1,0,0,0,1,outbound,0,0
1.238397,8043,49175,TCP,"RST,ACK",3,120,40.0,0.0,40,40,0.0,0,0,0.6191985000000386,0.617033999999876,0.6213630000002013,Benign,40.0,2.42248648858161,96.8994595432644,0,2,0,1,0,0,0,outbound,0,0
1.040854,49176,4143,TCP,SYN,3,134,44.66666666666666,1.8856180831641267,42,46,0.0,0,0,0.5204269999999269,0.5190360000001419,0.5218179999997119,Dridex,44.666666666666664,2.8822486150795408,128.74043814021948,0,1,1,0,0,0,1,outbound,0,0
1.039603,4143,49176,TCP,"RST,ACK",3,120,40.0,0.0,40,40,0.0,0,0,0.5198014999998577,0.5197079999998095,0.5198949999999058,Dridex,40.0,2.8857169515670886,115.42867806268353,0,2,0,1,0,0,0,outbound,0,0
1.139647,49177,8043,TCP,SYN,3,134,44.66666666666666,1.8856180831641267,42,46,0.0,0,0,0.569823499999984,0.5682200000001103,0.5714269999998578,Benign,44.666666666666664,2.6323940658818037,117.5802682760539,0,1,1,0,0,0,1,outbound,0,0
1.139878,8043,49177,TCP,"RST,ACK",3,120,40.0,0.0,40,40,0.0,0,0,0.569939000000204,0.5689420000003338,0.5709360000000743,Benign,40.0,2.631860602625895,105.2744241050358,0,2,0,1,0,0,0,outbound,0,0
0.99857,49178,443,TCP,SYN,3,134,44.66666666666666,1.8856180831641267,42,46,0.0,0,0,0.4992849999998725,0.4979279999997743,0.5006419999999707,Dridex,44.666666666666664,3.004296143485184,134.19189440900487,1,1,1,0,0,0,1,outbound,0,0
0.998617,443,49178,TCP,"RST,ACK",3,102,34.0,0.0,34,34,0.0,0,0,0.49930849999987,0.4979949999997188,0.5006220000000212,Dridex,34.0,3.004154746013737,102.14126136446706,0,2,0,1,0,0,0,outbound,0,0
1.240047,49179,8043,TCP,SYN,3,134,44.66666666666666,1.8856180831641267,42,46,0.0,0,0,0.6200235000001157,0.6189940000003844,0.6210529999998471,Benign,44.666666666666664,2.4192631408325656,108.06042029052125,0,1,1,0,0,0,1,outbound,0,0
1.239896,8043,49179,TCP,"RST,ACK",3,120,40.0,0.0,40,40,0.0,0,0,0.6199480000000221,0.6185519999999087,0.6213440000001356,Benign,40.0,2.419557769361301,96.78231077445204,0,2,0,1,0,0,0,outbound,0,0
1.019053,49180,4143,TCP,SYN,3,134,44.66666666666666,1.8856180831641267,42,46,0.0,0,0,0.5095264999999927,0.5080329999996138,0.5110200000003715,Dridex,44.666666666666664,2.9439096887011766,131.49463276198588,0,1,1,0,0,0,1,outbound,0,0
1.018808,4143,49180,TCP,"RST,ACK",3,120,40.0,0.0,40,40,0.0,0,0,0.509403999999904,0.5078619999999319,0.5109459999998762,Dridex,40.0,2.944617631585147,117.78470526340587,0,2,0,1,0,0,0,outbound,0,0
1.160722,49181,8043,TCP,SYN,3,134,44.66666666666666,1.8856180831641267,42,46,0.0,0,0,0.5803609999998116,0.5793909999993048,0.5813310000003185,Benign,44.666666666666664,2.5845982069780704,115.44538657835382,0,1,1,0,0,0,1,outbound,0,0
1.160913,8043,49181,TCP,"RST,ACK",3,120,40.0,0.0,40,40,0.0,0,0,0.5804564999998547,0.5799209999995583,0.5809920000001512,Benign,40.0,2.584172974202201,103.36691896808804,0,2,0,1,0,0,0,outbound,0,0
0.999424,49182,443,TCP,SYN,3,134,44.66666666666666,1.8856180831641267,42,46,0.0,0,0,0.4997120000002724,0.4984080000003814,0.5010160000001633,Dridex,44.666666666666664,3.0017289959016393,134.07722848360655,1,1,1,0,0,0,1,outbound,0,0
0.999416,443,49182,TCP,"RST,ACK",3,102,34.0,0.0,34,34,0.0,0,0,0.4997080000002825,0.4984629999999015,0.5009530000006635,Dridex,34.0,3.0017530237658794,102.0596028080399,0,2,0,1,0,0,0,outbound,0,0
1.240265,49183,8043,TCP,SYN,3,134,44.66666666666666,1.8856180831641267,42,46,0.0,0,0,0.6201324999997269,0.6187789999994493,0.6214860000000044,Benign,44.666666666666664,2.4188379096402786,108.0414266305991,0,1,1,0,0,0,1,outbound,0,0
1.240063,8043,49183,TCP,"RST,ACK",3,120,40.0,0.0,40,40,0.0,0,0,0.6200315000000955,0.6185409999998228,0.6215220000003683,Benign,40.0,2.419231926119883,96.76927704479532,0,2,0,1,0,0,0,outbound,0,0
1.039491,49184,4143,TCP,SYN,3,134,44.66666666666666,1.8856180831641267,42,46,0.0,0,0,0.5197455000002265,0.5189390000005005,0.5205519999999524,Dridex,44.666666666666664,2.8860278732572002,128.90924500548826,0,1,1,0,0,0,1,outbound,0,0
1.037441,4143,49184,TCP,"RST,ACK",3,120,40.0,0.0,40,40,0.0,0,0,0.5187205000001995,0.5164949999998498,0.5209460000005492,Dridex,40.0,2.891730710469318,115.66922841877272,0,2,0,1,0,0,0,outbound,0,0
1.140254,49185,8043,TCP,SYN,3,134,44.66666666666666,1.8856180831641267,42,46,0.0,0,0,0.5701269999999568,0.5691720000004352,0.5710819999994783,Benign,44.666666666666664,2.6309927437220124,117.51767588624989,0,1,1,0,0,0,1,outbound,0,0
1.139785,8043,49185,TCP,"RST,ACK",3,120,40.0,0.0,40,40,0.0,0,0,0.5698924999996962,0.5689599999996062,0.5708249999997861,Benign,40.0,2.6320753475436156,105.28301390174462,0,2,0,1,0,0,0,outbound,0,0
0.997904,49186,443,TCP,SYN,3,134,44.66666666666666,1.8856180831641267,42,46,0.0,0,0,0.4989520000003722,0.4974200000006021,0.5004840000001423,Dridex,44.666666666666664,3.006301207330565,134.2814539274319,1,1,1,0,0,0,1,outbound,0,0
0.997923,443,49186,TCP,"RST,ACK",3,102,34.0,0.0,34,34,0.0,0,0,0.4989614999999503,0.4974449999999706,0.50047799999993,Dridex,34.0,3.006243968723038,102.21229493658328,0,2,0,1,0,0,0,outbound,0,0
1.240411,49187,8043,TCP,SYN,3,134,44.66666666666666,1.8856180831641267,42,46,0.0,0,0,0.6202054999998836,0.6191229999994903,0.621288000000277,Benign,44.666666666666664,2.4185532053488723,108.0287098389163,0,1,1,0,0,0,1,outbound,0,0
1.240028,8043,49187,TCP,"RST,ACK",3,120,40.0,0.0,40,40,0.0,0,0,0.6200139999996281,0.6188359999996464,0.6211919999996098,Benign,40.0,2.4193002093501117,96.77200837400447,0,2,0,1,0,0,0,outbound,0,0
1.038427,49188,4143,TCP,SYN,3,134,44.66666666666666,1.8856180831641267,42,46,0.0,0,0,0.5192134999997506,0.5176189999992857,0.5208080000002155,Dridex,44.666666666666664,2.8889849743891483,129.0413288560486,0,1,1,0,0,0,1,outbound,0,0
1.038426,4143,49188,TCP,"RST,ACK",3,120,40.0,0.0,40,40,0.0,0,0,0.5192130000000361,0.5185710000005201,0.5198549999995521,Dridex,40.0,2.888987756469888,115.55951025879551,0,2,0,1,0,0,0,outbound,0,0
1.139989,49189,8043,TCP,SYN,3,134,44.66666666666666,1.8856180831641267,42,46,0.0,0,0,0.5699945000001208,0.5694720000001325,0.570517000000109,Benign,44.666666666666664,2.6316043400418776,117.54499385520387,0,1,1,0,0,0,1,outbound,0,0
1.140616,8043,49189,TCP,"RST,ACK",3,120,40.0,0.0,40,40,0.0,0,0,0.5703079999998408,0.5697819999995772,0.5708340000001044,Benign,40.0,2.63015773932682,105.20630957307279,0,2,0,1,0,0,0,outbound,0,0
0.998818,49190,443,TCP,SYN,3,134,44.66666666666666,1.8856180831641267,42,46,0.0,0,0,0.4994090000000142,0.4980359999999564,0.500782000000072,Dridex,44.666666666666664,3.0035501963320645,134.15857543616556,1,1,1,0,0,0,1,outbound,0,0
0.99884,443,49190,TCP,"RST,ACK",3,102,34.0,0.0,34,34,0.0,0,0,0.4994199999996453,0.4981139999999868,0.5007259999993039,Dridex,34.0,3.0034840414881265,102.11845741059629,0,2,0,1,0,0,0,outbound,0,0
