Duration,Source Port,Destination Port,Protocol,Flags,Packets,Bytes,Label,packet_length,flags_count,syn_count,ack_count,fin_count,is_http,is_internal_ip,direction,bytes_per_packet,short_duration,single_packet
141.436237,443,49173,TCP,"FIN,SYN,RST,ACK",68,65154,Trickbot,65154,4,1,1,1,0,0,inbound,65154,0,0
140.860637,49173,443,TLS,"PSH,ACK",22,8999,Trickbot,8999,2,0,1,0,0,1,outbound,8999,0,0
140.283169,443,49173,TLS,"PSH,ACK",25,16809,Trickbot,16809,2,0,1,0,0,0,inbound,16809,0,0
78.290128,49174,447,TCP,"SYN,RST,ACK",149,8130,Trickbot,8130,3,1,1,0,0,1,outbound,8130,0,0
17.677884,447,49174,TCP,"SYN,PSH,ACK",340,511858,Trickbot,511858,3,1,1,0,0,0,inbound,511858,0,0
13.982447,49174,447,TLS,"PSH,ACK",4,802,Trickbot,802,2,0,1,0,0,1,outbound,802,0,0
17.422221,447,49174,TLS,"PSH,ACK",42,57634,Trickbot,57634,2,0,1,0,0,0,inbound,57634,0,0
68.18347,49175,443,TCP,"FIN,SYN,ACK",18,17056,Benign,17056,3,1,1,1,0,1,outbound,17056,0,0
68.179761,443,49175,TCP,"FIN,SYN,RST,PSH,ACK",25,1665,Benign,1665,5,1,1,1,0,0,inbound,1665,0,0
68.098718,49175,443,TLS,"PSH,ACK",18,8011,Benign,8011,2,0,1,0,0,1,outbound,8011,0,0
68.013453,443,49175,TLS,"PSH,ACK",15,4530,Benign,4530,2,0,1,0,0,0,inbound,4530,0,0
65.332939,49176,443,TCP,"FIN,SYN,ACK",5,282,Benign,282,3,1,1,1,0,1,outbound,282,0,0
65.333628,443,49176,TCP,"FIN,SYN,RST,ACK",5,306,Benign,306,4,1,1,1,0,0,inbound,306,0,0
65.25295,49176,443,TLS,"PSH,ACK",4,706,Benign,706,2,0,1,0,0,1,outbound,706,0,0
65.170893,443,49176,TLS,"PSH,ACK",4,1401,Benign,1401,2,0,1,0,0,0,inbound,1401,0,0
65.329127,49177,443,TCP,"FIN,SYN,ACK",6,348,Benign,348,3,1,1,1,0,1,outbound,348,0,0
65.331006,443,49177,TCP,"FIN,SYN,RST,PSH,ACK",6,541,Benign,541,5,1,1,1,0,0,inbound,541,0,0
65.251506,49177,443,TLS,"PSH,ACK",4,706,Benign,706,2,0,1,0,0,1,outbound,706,0,0
65.17151,443,49177,TLS,"PSH,ACK",4,1401,Benign,1401,2,0,1,0,0,0,inbound,1401,0,0
89.386922,49178,443,TCP,"FIN,SYN,ACK",5,282,Benign,282,3,1,1,1,0,1,outbound,282,0,0
89.391786,443,49178,TCP,"FIN,SYN,RST,ACK",4,246,Benign,246,4,1,1,1,0,0,inbound,246,0,0
89.304269,49178,443,TLS,"PSH,ACK",4,706,Benign,706,2,0,1,0,0,1,outbound,706,0,0
65.175375,443,49178,TLS,"PSH,ACK",4,1401,Benign,1401,2,0,1,0,0,0,inbound,1401,0,0
65.503895,49179,443,TCP,"FIN,SYN,ACK",5,282,Benign,282,3,1,1,1,0,1,outbound,282,0,0
65.50302,443,49179,TCP,"FIN,SYN,RST,ACK",4,246,Benign,246,4,1,1,1,0,0,inbound,246,0,0
0.32383,49179,443,TLS,"PSH,ACK",3,615,Benign,615,2,0,1,0,0,1,outbound,615,0,0
65.321374,443,49179,TLS,"PSH,ACK",4,1401,Benign,1401,2,0,1,0,0,0,inbound,1401,0,0
65.343137,49180,443,TCP,"FIN,SYN,ACK",5,282,Benign,282,3,1,1,1,0,1,outbound,282,0,0
65.344953,443,49180,TCP,"FIN,SYN,RST,ACK",4,246,Benign,246,4,1,1,1,0,0,inbound,246,0,0
0.180224,49180,443,TLS,"PSH,ACK",3,615,Benign,615,2,0,1,0,0,1,outbound,615,0,0
65.177927,443,49180,TLS,"PSH,ACK",4,1401,Benign,1401,2,0,1,0,0,0,inbound,1401,0,0
65.506023,49181,443,TCP,"FIN,SYN,ACK",5,282,Benign,282,3,1,1,1,0,1,outbound,282,0,0
65.50469,443,49181,TCP,"FIN,SYN,RST,ACK",5,306,Benign,306,4,1,1,1,0,0,inbound,306,0,0
65.393977,49181,443,TLS,"PSH,ACK",4,706,Benign,706,2,0,1,0,0,1,outbound,706,0,0
65.313015,443,49181,TLS,"PSH,ACK",4,1401,Benign,1401,2,0,1,0,0,0,inbound,1401,0,0
65.332421,49182,443,TCP,"FIN,SYN,ACK",5,282,Benign,282,3,1,1,1,0,1,outbound,282,0,0
65.331867,443,49182,TCP,"FIN,SYN,RST,ACK",5,306,Benign,306,4,1,1,1,0,0,inbound,306,0,0
65.254323,49182,443,TLS,"PSH,ACK",4,706,Benign,706,2,0,1,0,0,1,outbound,706,0,0
65.17472,443,49182,TLS,"PSH,ACK",4,1401,Benign,1401,2,0,1,0,0,0,inbound,1401,0,0
65.339264,49183,443,TCP,"FIN,SYN,ACK",6,348,Benign,348,3,1,1,1,0,1,outbound,348,0,0
65.339031,443,49183,TCP,"FIN,SYN,RST,PSH,ACK",6,541,Benign,541,5,1,1,1,0,0,inbound,541,0,0
65.261097,49183,443,TLS,"PSH,ACK",4,706,Benign,706,2,0,1,0,0,1,outbound,706,0,0
65.180872,443,49183,TLS,"PSH,ACK",4,1401,Benign,1401,2,0,1,0,0,0,inbound,1401,0,0
65.368513,49184,443,TCP,"FIN,SYN,ACK",6,348,Benign,348,3,1,1,1,0,1,outbound,348,0,0
65.371055,443,49184,TCP,"FIN,SYN,RST,PSH,ACK",5,481,Benign,481,5,1,1,1,0,0,inbound,481,0,0
0.21413,49184,443,TLS,"PSH,ACK",3,615,Benign,615,2,0,1,0,0,1,outbound,615,0,0
65.211599,443,49184,TLS,"PSH,ACK",4,1401,Benign,1401,2,0,1,0,0,0,inbound,1401,0,0
67.823766,49185,443,TCP,"FIN,SYN,ACK",7,402,Benign,402,3,1,1,1,0,1,outbound,402,0,0
67.825299,443,49185,TCP,"FIN,SYN,RST,PSH,ACK",10,909,Benign,909,5,1,1,1,0,0,inbound,909,0,0
67.74284,49185,443,TLS,"PSH,ACK",7,1443,Benign,1443,2,0,1,0,0,1,outbound,1443,0,0
67.656932,443,49185,TLS,"PSH,ACK",7,2458,Benign,2458,2,0,1,0,0,0,inbound,2458,0,0
66.302897,49186,447,TCP,"FIN,SYN,ACK",13,710,Trickbot,710,3,1,1,1,0,1,outbound,710,0,0
66.295602,447,49186,TCP,"FIN,SYN,RST,ACK",20,23012,Trickbot,23012,4,1,1,1,0,0,inbound,23012,0,0
66.049767,49186,447,TLS,"PSH,ACK",4,674,Trickbot,674,2,0,1,0,0,1,outbound,674,0,0
65.799434,447,49186,TLS,"PSH,ACK",7,6365,Trickbot,6365,2,0,1,0,0,0,inbound,6365,0,0
67.372057,49187,443,TCP,"FIN,SYN,ACK",6,348,Benign,348,3,1,1,1,0,1,outbound,348,0,0
67.370803,443,49187,TCP,"FIN,SYN,RST,PSH,ACK",9,721,Benign,721,5,1,1,1,0,0,inbound,721,0,0
67.290233,49187,443,TLS,"PSH,ACK",6,1208,Benign,1208,2,0,1,0,0,1,outbound,1208,0,0
65.639029,443,49187,TLS,"PSH,ACK",6,1999,Benign,1999,2,0,1,0,0,0,inbound,1999,0,0
78.384259,49188,443,TCP,"FIN,SYN,PSH,ACK",17,10902,Trickbot,10902,4,1,1,1,0,1,outbound,10902,0,0
79.603317,443,49188,TCP,"FIN,SYN,RST,PSH,ACK",21,2802,Trickbot,2802,5,1,1,1,0,0,inbound,2802,0,0
77.850262,49188,443,TLS,"PSH,ACK",6,2389,Trickbot,2389,2,0,1,0,0,1,outbound,2389,0,0
6.823185,443,49188,TLS,"PSH,ACK",2,332,Trickbot,332,2,0,1,0,0,0,inbound,332,0,0
80.550754,49189,443,TCP,"FIN,SYN,PSH,ACK",17,9536,Trickbot,9536,4,1,1,1,0,1,outbound,9536,0,0
82.890494,443,49189,TCP,"FIN,SYN,RST,PSH,ACK",21,1504,Trickbot,1504,5,1,1,1,0,0,inbound,1504,0,0
79.879832,49189,443,TLS,"PSH,ACK",6,3095,Trickbot,3095,2,0,1,0,0,1,outbound,3095,0,0
11.90389,443,49189,TLS,"PSH,ACK",4,1898,Trickbot,1898,2,0,1,0,0,0,inbound,1898,0,0
66.119111,49190,443,TCP,"FIN,SYN,ACK",6,336,Benign,336,3,1,1,1,0,1,outbound,336,0,0
66.115098,443,49190,TCP,"FIN,SYN,RST,ACK",5,306,Benign,306,4,1,1,1,0,0,inbound,306,0,0
66.037179,49190,443,TLS,"PSH,ACK",4,706,Benign,706,2,0,1,0,0,1,outbound,706,0,0
65.631468,443,49190,TLS,"PSH,ACK",4,1401,Benign,1401,2,0,1,0,0,0,inbound,1401,0,0
166.652596,49191,443,TCP,"FIN,SYN,PSH,ACK",71,73901,Trickbot,73901,4,1,1,1,0,1,outbound,73901,0,0
168.491934,443,49191,TCP,"FIN,SYN,RST,PSH,ACK",62,4600,Trickbot,4600,5,1,1,1,0,0,inbound,4600,0,0
165.848389,49191,443,TLS,"PSH,ACK",21,17493,Trickbot,17493,2,0,1,0,0,1,outbound,17493,0,0
97.908376,443,49191,TLS,"PSH,ACK",9,2993,Trickbot,2993,2,0,1,0,0,0,inbound,2993,0,0
65.903876,49192,443,TCP,"FIN,SYN,ACK",8,468,Benign,468,3,1,1,1,0,1,outbound,468,0,0
65.904523,443,49192,TCP,"FIN,SYN,RST,PSH,ACK",7,654,Benign,654,5,1,1,1,0,0,inbound,654,0,0
